node_i, node_j
Williams I., Zagheni E.
Cho T.-C., Park B.
Sasson I., van Raalte A.
Schoeni R. F., Choi H.
M’ikanatha N. M., Harrison L. H.
Schoeni R. F., Wiemers E. E.
Wiemers E. E., Hotz V. J.
Margolis R., Daw J.
Schoeni R. F., Seltzer J. A.
Sasson I., Alburez-Gutierrez D.
Andersson L., van Raalte A.
Andersson L., Alburez-Gutierrez D.
Margolis R., Verdery A.
Choi H., Schoeni R. F.
Verdery A., Margolis R.
Archer A., Wykoff R.
White M., Wykoff R.
Boak M. B., Harrison L. H.
Park B., Choi H.
Smith-Greenaway E., Margolis R.
M’ikanatha N. M., Day R. S.
Day R. S., Harrison L. H.
Caswell H., Margolis R.
Choi H., Langa K. M.
Quinn M., Wykoff R.
Verdery A., Smith-Greenaway E.
Choi H., Seltzer J. A.
Snyder M., Zagheni E.
Boak M. B., Day R. S.
Choi H., Wiemers E. E.
Archer A., White M.
Archer A., Quinn M.
White M., Quinn M.
Reyes A., Schoeni R. F.
Hotz V. J., Seltzer J. A.
Snyder M., Williams I.
Alburez-Gutierrez D., Zagheni E.
Cho T.-C., Choi H.
Schoeni R. F., Heisler M. M.
Boak M. B., M’ikanatha N. M.
Schoeni R. F., Hotz V. J.
Verdery A., Daw J.
Wiemers E. E., Seltzer J. A.
Reyes A., Choi H.
Alburez-Gutierrez D., Williams I.
Smith-Greenaway E., Daw J.
Snyder M., Alburez-Gutierrez D.
Choi H., Heisler M. M.
Caswell H., Verdery A.
Langa K. M., Heisler M. M.
Schoeni R. F., Cho T.-C.
York Cornwell E., Goldman A. W.
Choi H., Hotz V. J.
van Raalte A., Alburez-Gutierrez D.
Sasson I., Andersson L.
Schoeni R. F., Langa K. M.